signal id;x;y;time;signal state
exampleSignal7;-4717.72973868487;-1707.7232010396222;28920.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28920.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28920.0;RED
exampleSignal6;-5020.0;0.0;28950.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28950.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28950.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28950.0;GREEN
exampleSignal6;-5020.0;0.0;28980.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28980.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28980.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28980.0;RED
exampleSignal6;-5020.0;0.0;29010.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;29010.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;29010.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;29010.0;GREEN
