2018-05-30 11:11:03,989 |  INFO  | 5892 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,989 |  INFO  | 5892 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,991 |  INFO  | 5894 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 2 ms
2018-05-30 11:11:04,003 |  INFO  | 5906 [main] | o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-30 11:11:04,003 |  INFO  | 5906 [main] | o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4911d84, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c0b82f3, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@62125fb5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@219521f1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2d64757a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4d98763f]
2018-05-30 11:11:04,008 |  INFO  | 5911 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:04,009 |  INFO  | 5912 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:04,011 |  INFO  | 5914 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 2 ms
2018-05-30 11:11:04,014 |  WARN  | 5917 [main] | o.s.w.s.m.s.DefaultHandlerExceptionResolver - Failed to bind request element: org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type [java.lang.String] to required type [net.contargo.iris.route.RouteCombo]; nested exception is org.springframework.core.convert.ConversionFailedException: Failed to convert from type [java.lang.String] to type [@org.springframework.web.bind.annotation.RequestParam net.contargo.iris.route.RouteCombo] for value 'FOO'; nested exception is java.lang.IllegalArgumentException: No enum constant net.contargo.iris.route.RouteCombo.FOO
2018-05-30 11:11:04,016 |  INFO  | 5919 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:04,016 |  INFO  | 5919 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:04,018 |  INFO  | 5921 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 1 ms
2018-05-30 11:11:04,045 |  INFO  | 5948 [main] | n.c.i.c.a.SeaportConnectionApiController - API: Returning 1 active seaports in connections with combo RAILWAY
2018-05-30 11:11:04,079 |  INFO  | 5982 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:04,079 |  INFO  | 5982 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:04,082 |  INFO  | 5985 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 3 ms
2018-05-30 11:11:04,084 |  INFO  | 5987 [main] | n.c.i.c.a.SeaportConnectionApiController - API: Returning 2 active seaports in connections with combo ALL
2018-05-30 11:11:04,165 |  INFO  | 6068 [main] | o.s.t.c.w.WebTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-30 11:11:04,165 |  INFO  | 6068 [main] | o.s.t.c.w.WebTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@599308d0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@375121ce, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@43a188b6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@20f6e126, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61e2a860, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5f83aac3]
2018-05-30 11:11:04,166 |  INFO  | 6069 [main] | o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [web-api-context.xml]
2018-05-30 11:11:04,239 |  INFO  | 6142 [main] | o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@10287dbd: startup date [Wed May 30 11:11:04 CEST 2018]; root of context hierarchy
2018-05-30 11:11:04,294 |  INFO  | 6197 [main] | o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [application.properties]
2018-05-30 11:11:04,294 |  INFO  | 6197 [main] | o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [application-dev.properties]
2018-05-30 11:11:04,317 |  INFO  | 6220 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/staticaddresses/new],methods=[GET]}" onto public java.lang.String net.contargo.iris.address.staticsearch.web.StaticAddressController.prepareForCreate(org.springframework.ui.Model)
2018-05-30 11:11:04,318 |  INFO  | 6221 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/staticaddresses/],methods=[POST]}" onto public java.lang.String net.contargo.iris.address.staticsearch.web.StaticAddressController.saveStaticAddress(net.contargo.iris.address.staticsearch.StaticAddress,org.springframework.validation.BindingResult,org.springframework.ui.Model)
2018-05-30 11:11:04,318 |  INFO  | 6221 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/staticaddresses/{id}],methods=[GET]}" onto public java.lang.String net.contargo.iris.address.staticsearch.web.StaticAddressController.getStaticAddress(org.springframework.ui.Model,java.lang.Long)
2018-05-30 11:11:04,319 |  INFO  | 6222 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/staticaddresses/{id}],methods=[PUT]}" onto public java.lang.String net.contargo.iris.address.staticsearch.web.StaticAddressController.updateStaticAddress(net.contargo.iris.address.staticsearch.StaticAddress,org.springframework.validation.BindingResult,org.springframework.ui.Model)
